barcode,name,estilo,terex2_stock
7003415881311,EDGE 60 FUSION BLANCO SWAROVSKY CON MICA,SWAROVSKY CON MICA,1
7003415880239,EDGE 60 FUSION VERDE PISTACHE SWAROVSKY CON MICA,SWAROVSKY CON MICA,6
7003415340115,EDGE 60 PRO AZUL CLARO SWAROVSKY CON MICA,SWAROVSKY CON MICA,11
7003415340177,EDGE 60 PRO MORADO SWAROVSKY CON MICA,SWAROVSKY CON MICA,8
7003415340016,EDGE 60 PRO NEGRO SWAROVSKY CON MICA,SWAROVSKY CON MICA,3
7003415340047,EDGE 60 PRO ROSA SWAROVSKY CON MICA,SWAROVSKY CON MICA,7
7003415651310,G56 BLANCO SWAROVSKY CON MICA,SWAROVSKY CON MICA,3
7003415650160,G56 LILA SWAROVSKY CON MICA,SWAROVSKY CON MICA,8
7003415640116,G86 AZUL CLARO SWAROVSKY CON MICA,SWAROVSKY CON MICA,10
7003415641311,G86 BLANCO SWAROVSKY CON MICA,SWAROVSKY CON MICA,7
7003415640178,G86 MORADO SWAROVSKY CON MICA,SWAROVSKY CON MICA,3
7003415640017,G86 NEGRO SWAROVSKY CON MICA,SWAROVSKY CON MICA,10
7003415640048,G86 ROSA SWAROVSKY CON MICA,SWAROVSKY CON MICA,4
7003415771315,HONOR 400 LITE BLANCO SWAROVSKY CON MICA,SWAROVSKY CON MICA,1
7003415770011,HONOR 400 LITE NEGRO SWAROVSKY CON MICA,SWAROVSKY CON MICA,2
7003415040237,IPHONE 16E VERDE PISTACHE SWAROVSKY CON MICA,SWAROVSKY CON MICA,8
7003414490170,MOTO EDGE 50 ULTRA MORADO SWAROVSKY CON MICA,SWAROVSKY CON MICA,14
7003411550112,MOTO G60 AZUL CLARO SWAROVSKY CON MICA,SWAROVSKY CON MICA,3
7003411551317,MOTO G60 BLANCO SWAROVSKY CON MICA,SWAROVSKY CON MICA,3
7003411550167,MOTO G60 LILA SWAROVSKY CON MICA,SWAROVSKY CON MICA,5
7003411551140,MOTO G60 ROSA CON ROSA SWAROVSKY CON MICA,SWAROVSKY CON MICA,2
7003411550044,MOTO G60 ROSA SWAROVSKY CON MICA,SWAROVSKY CON MICA,7
7003416080010,OPPO A5 NEGRO SWAROVSKY CON MICA,SWAROVSKY CON MICA,1
7003416080232,OPPO A5 VERDE PISTACHE SWAROVSKY CON MICA,SWAROVSKY CON MICA,19
7003414840173,OPPO A60 MORADO SWAROVSKY CON MICA,SWAROVSKY CON MICA,6
7003414840012,OPPO A60 NEGRO SWAROVSKY CON MICA,SWAROVSKY CON MICA,1
7003416060173,REALME 14 MORADO SWAROVSKY CON MICA,SWAROVSKY CON MICA,16
7003416060012,REALME 14 NEGRO SWAROVSKY CON MICA,SWAROVSKY CON MICA,10
7003416060043,REALME 14 ROSA SWAROVSKY CON MICA,SWAROVSKY CON MICA,27
7003416060234,REALME 14 VERDE PISTACHE SWAROVSKY CON MICA,SWAROVSKY CON MICA,29
7003415260178,REDMI A5 MORADO SWAROVSKY CON MICA,SWAROVSKY CON MICA,1
7003414600173,RENO 12F MORADO SWAROVSKY CON MICA,SWAROVSKY CON MICA,15
7003414600012,RENO 12F NEGRO SWAROVSKY CON MICA,SWAROVSKY CON MICA,12
7003414600043,RENO 12F ROSA SWAROVSKY CON MICA,SWAROVSKY CON MICA,6
7003414520174,RENO 12 MORADO SWAROVSKY CON MICA,SWAROVSKY CON MICA,7
7003414520013,RENO 12 NEGRO SWAROVSKY CON MICA,SWAROVSKY CON MICA,4
7003416070172,RENO 12 PRO MORADO SWAROVSKY CON MICA,SWAROVSKY CON MICA,10
